City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,berberati,4.2612,15.7922,20.38,87,65,1.7,CF,1680920374
353,maceio,-9.6658,-35.7353,25.69,94,20,0.51,BR,1680920093
354,tezu,27.9167,96.1667,27.01,33,16,0.44,IN,1680920375
355,saint george,37.1041,-113.5841,18.86,24,0,1.54,US,1680920375
356,bandarbeyla,9.4942,50.8122,26.69,72,54,2.85,SO,1680920375
357,zhuhai,22.2769,113.5678,21.59,68,40,4.63,CN,1680920375
358,muros,42.7762,-9.0603,13.07,66,100,2.43,ES,1680920375
359,brae,60.3964,-1.353,6.14,89,15,6.95,GB,1680920375
360,soe,-9.8607,124.284,17.92,96,100,0.75,ID,1680920376
361,nanortalik,60.1432,-45.2371,-1.32,91,100,2.43,GL,1680920351
362,vredendal,-31.6683,18.5012,15.49,81,100,6.64,ZA,1680920376
363,ust-tsilma,65.441,52.1498,0.88,95,100,3.85,RU,1680920354
364,semenivka,52.1783,32.5818,6.98,87,100,3.22,UA,1680920377
